adm0_name,adm1_name,policy,policy_description_long,optional,date_start,policy_intensity,travel_ban_intl_out_opt_country_list,travel_ban_intl_in_opt_country_list,source,accessed_date,notes,implied_policy
KOR,All,pos_cases_quarantine,"Since 22 March, every inbound traveler from Europe was required to be tested. Starting 0:00 of 27 March, a stronger screening process will be applied for inbound travelers from the United States. All symptomatic persons entering from the US, regardless of nationality, will be required to wait for testing in a facility within the airport. Persons who test positive will be transferred to a hospital or âLife Treatment Centerâ. Persons who test negative will enter self-quarantine at home for 14 days.Korean nationals and foreigners with a domestic residence who are asymptomatic at the time of entry will enter self-quarantine in their home for 14 days and get tested if symptoms begin to occur. Foreigners who are on a short-term visit without domestic residence and thus are unable to self-quarantine will be tested in at a temporary facility. If they test negative, they will be allowed entry under enhanced active monitoring. ",N,2020-03-27,0.5000000,,,https://www.cdc.go.kr/board/board.es?mid=a30402000000&bid=0030&act=view&list_no=366650&tag=&nPage=3,04/07/2020,,False
KOR,All,pos_cases_quarantine,"Up until 31 March, only travelers arriving from Europe or the United States are ordered to self-quarantine. Starting 0:00 of 1 April, all Koreans and foreigners residing in Korea arriving from all overseas countries will be subject to self-quarantine for 14 days upon entry. Up until 31 March, short-term travelers without domestic residence are subject to active monitoring rather than self-quarantine. Starting 1 April, all short-term travelers will also be ordered to self-quarantine with exceptions allowed only for limited cases (diplomatic missions etc.) The exempt persons will still be subject to testing and active monitoring.",N,2020-04-01,0.7500000,,,https://www.cdc.go.kr/board/board.es?mid=a30402000000&bid=0030&act=view&list_no=366691&tag=&nPage=2,04/07/2020,,False
KOR,All,pos_cases_quarantine,Persons traveling in from overseas who fail to comply with self-quarantine regulations are subject to imprisonment up to 1 year or fine up to 10 million won (effective 5 April) for violation of Infectious Disease Control and Prevention Act (Paragraph 1 of Article 49 and Article 79-3). Persons of foreign nationality who fail to comply may be subject to measures including deportation and entry ban in accordance with Immigration Act (Articles 11 and 46).,N,2020-04-05,1.0000000,,,https://www.cdc.go.kr/board/board.es?mid=a30402000000&bid=0030&act=view&list_no=366739&tag=&nPage=1,04/07/2020,,False
KOR,Seoul,event_cancel,Public events held by the local government are canceled,N,2020-02-01,1.0000000,,,http://mediahub.seoul.go.kr/archives/1267068,04/07/2020,,False
KOR,Daegu,event_cancel,Public events held by the local government are canceled,N,2020-02-10,1.0000000,,,https://blog.naver.com/PostView.nhn?blogId=daegu_news&logNo=221803387559&categoryNo=105&parentCategoryNo=-1&viewDate=&currentPage=&postListTopCurrentPage=&isAfterWrite=true,04/07/2020,,False
KOR,Gangwon-do,event_cancel,Public events held by the local government are canceled,N,2020-02-22,1.0000000,,,https://news.v.daum.net/v/20200222153614198,04/07/2020,,False
KOR,Chungcheongbuk-do,event_cancel,Public events held by the local government are canceled,N,2020-02-23,1.0000000,,,http://www.cbinews.co.kr/news/articleView.html?idxno=130368,04/07/2020,,False
KOR,Chungcheongnam-do,event_cancel,Public events held by the local government are canceled,N,2020-02-07,1.0000000,,,https://www.yna.co.kr/view/AKR20200204145700063,04/07/2020,,False
KOR,Sejong,event_cancel,Public events held by the local government are canceled,N,2020-01-31,1.0000000,,,http://www.dtnews24.com/news/articleView.html?idxno=570283,04/07/2020,,False
KOR,Daejeon,event_cancel,Public events held by the local government are canceled,N,2020-02-24,1.0000000,,,https://www.daejeon.go.kr/drh/drhStoryDaejeonView.do?boardId=blog_0001&categorySeq=291&menuSeq=1624&ntatcSeq=1329554704,04/07/2020,,False
KOR,Gyeongsangbuk-do,event_cancel,Public events held by the local government are canceled,N,2020-02-04,1.0000000,,,https://www.yeongnam.com/web/view.php?key=20200204010000591,04/07/2020,,False
KOR,Gyeongsangnam-do,event_cancel,Public events held by the local government are canceled,N,2020-02-05,1.0000000,,,https://www.news1.kr/election613/news/articles/?3833871,04/07/2020,,False
KOR,Jeju,event_cancel,Public events held by the local government are canceled,N,2020-02-23,1.0000000,,,https://www.newsjeju.net/news/articleView.html?idxno=340284,04/07/2020,,False
KOR,Gyeonggi-do,event_cancel,Public events held by the local government are canceled,N,2020-01-30,1.0000000,,,https://www.open.go.kr/pa/infoWonmun/cateSearch/wonmunOrginlDetail.do?prdnDt=20200130085100&prdnNstRgstNo=DCTEBB8A7416FEBB8E36BFFFFF8FF1EF249#hnp=0.09478994880959113,04/07/2020,,False
KOR,Ulsan,event_cancel,Public events held by the local government are canceled,N,2020-02-23,1.0000000,,,https://www.ulsanpress.net/news/articleView.html?idxno=345623,04/07/2020,,False
KOR,Gwangju,event_cancel,Public events held by the local government are canceled,N,2020-02-06,1.0000000,,,https://webcache.googleusercontent.com/search?q=cache:v4o45uHp3IQJ:https://www.gwangju.go.kr/c19/c19/contentsView.do%3FpageId%3Dcoronagj17+&cd=2&hl=en&ct=clnk&gl=us,04/07/2020,,False
KOR,Busan,event_cancel,Public events held by the local government are canceled,N,2020-02-08,1.0000000,,,http://www.busan.go.kr/youth/gnsaler01/1419512,04/07/2020,,False
KOR,Incheon,event_cancel,Public events held by the local government are canceled,N,2020-02-24,1.0000000,,,http://www.dtoday.co.kr/news/articleView.html?idxno=350607,04/07/2020,,False
KOR,Jeollanam-do,event_cancel,Public events held by the local government are canceled,N,2020-02-07,1.0000000,,,https://www.yna.co.kr/view/AKR20200203114000054,04/07/2020,,False
KOR,Jeollabuk-do,event_cancel,Public events held by the local government are canceled,N,2020-02-24,1.0000000,,,http://www.jeonbuk.go.kr/board/view.jeonbuk?boardId=BBS_0000106&menuCd=DOM_000000105010007000&paging=ok&startPage=1&dataSid=386610,04/07/2020,,False
