date,predicted_cum_confirmed_cases_true,predicted_cum_confirmed_cases_no_policy
2020-02-27,11,11
2020-02-28,15.522401064376673,15.522401064376673
2020-02-29,21.855124879210617,21.855124879210617
2020-03-01,29.406121141012104,29.406121141012104
2020-03-02,143.04532747832974,143.04532747832974
2020-03-03,217.15155342609137,228.80071247444562
2020-03-04,309.21452799191854,346.0305499718787
2020-03-05,476.3559223465436,568.3254714574675
2020-03-06,747.6052885260377,980.8457675461069
2020-03-07,1084.3153583450614,1642.768340025565
2020-03-08,1437.0907510552313,2700.1136861809773
2020-03-09,1870.4054127115296,4508.579575307378
2020-03-10,2259.6870079420196,7137.427366734449
2020-03-11,2839.555933164661,11975.276926216075
2020-03-12,3736.7542402278823,21392.20465577141
2020-03-13,4727.501039691302,38773.56170854053
2020-03-14,6040.772285851975,71619.46358055192
2020-03-15,7437.113806782656,128258.99607528871
2020-03-16,9055.73357221612,228368.38813729532
2020-03-17,10370.502120304529,380869.826393364
2020-03-18,12356.312310607498,658123.6337880038
